id,code,master_code,name,category
nhsa_jbzd_34_0102,"34.0102",True,"胸壁切开异物取出术","手术"
nhsa_jbzd_34_0103,"34.0103",True,"胸壁切开血肿清除术","手术"
nhsa_jbzd_34_0200,"34.0200",True,"探查性胸廓切开术","手术"
nhsa_jbzd_34_0200x001,"34.0200x001",True,"开胸探查术","手术"
nhsa_jbzd_34_0200x003,"34.0200x003",True,"胸腔镜中转开胸探查术","手术"
nhsa_jbzd_34_0300,"34.0300",True,"近期胸廓切开部位的再切开","手术"
nhsa_jbzd_34_0300x001,"34.0300x001",True,"近期开胸术后再开胸术","手术"
nhsa_jbzd_34_0301,"34.0301",True,"胸腔术后再切开止血术","手术"
nhsa_jbzd_34_0400,"34.0400",True,"肋间导管置入用于引流","治疗性操作"
nhsa_jbzd_34_0400x001,"34.0400x001",True,"胸腔引流管置换术","治疗性操作"
nhsa_jbzd_34_0401,"34.0401",True,"胸腔闭式引流术","治疗性操作"
nhsa_jbzd_34_0402,"34.0402",True,"胸腔闭式引流管调整术","治疗性操作"
nhsa_jbzd_34_0500,"34.0500",True,"创建胸膜腹膜分流术","手术"
nhsa_jbzd_34_0600,"34.0600",True,"胸腔镜胸膜腔引流","手术"
nhsa_jbzd_34_0900,"34.0900",True,"胸膜其他切开术","手术"
nhsa_jbzd_34_0900x006,"34.0900x006",True,"胸膜切开探查术","手术"
nhsa_jbzd_34_0900x010,"34.0900x010",True,"胸腔镜下脓胸清除术","手术"
nhsa_jbzd_34_0900x011,"34.0900x011",True,"开胸止血术","手术"
nhsa_jbzd_34_0901,"34.0901",True,"胸膜切开血肿清除术","手术"
nhsa_jbzd_34_0902,"34.0902",True,"胸腔切开脓肿清除术","手术"
nhsa_jbzd_34_0903,"34.0903",True,"胸腔切开引流术","手术"
nhsa_jbzd_34_0904,"34.0904",True,"开胸异物取出术","手术"
nhsa_jbzd_34_0905,"34.0905",True,"胸腔镜下胸腔切开异物取出术","手术"
nhsa_jbzd_34_0906,"34.0906",True,"胸腔镜下胸腔切开止血术","手术"
nhsa_jbzd_34_1x00,"34.1x00",True,"纵隔切开术","手术"
nhsa_jbzd_34_1x01,"34.1x01",True,"纵隔切开引流术","手术"
nhsa_jbzd_34_1x02,"34.1x02",True,"纵隔探查术","手术"
nhsa_jbzd_34_1x03,"34.1x03",True,"纵隔切开异物取出术","手术"
nhsa_jbzd_34_1x04,"34.1x04",True,"纵隔血肿清除术","手术"
nhsa_jbzd_34_1x05,"34.1x05",True,"胸腔镜下纵隔切开引流术","手术"
nhsa_jbzd_34_2000,"34.2000",True,"胸腔镜胸膜活组织检查","手术"
nhsa_jbzd_34_2100,"34.2100",True,"经胸膜胸腔镜检查","手术"
nhsa_jbzd_34_2100x001,"34.2100x001",True,"胸腔镜检查","手术"
nhsa_jbzd_34_2200,"34.2200",True,"纵隔镜检查","手术"
nhsa_jbzd_34_2300,"34.2300",True,"胸壁活组织检查","诊断性操作"
nhsa_jbzd_34_2301,"34.2301",True,"胸腔镜下胸壁活组织检查术","手术"
nhsa_jbzd_34_2400,"34.2400",True,"其他胸膜活组织检查","诊断性操作"
nhsa_jbzd_34_2400x001,"34.2400x001",True,"胸膜活检","诊断性操作"
nhsa_jbzd_34_2500,"34.2500",True,"闭合性纵隔[经皮][针吸]活组织检查","诊断性操作"
nhsa_jbzd_34_2501,"34.2501",True,"内镜下纵隔活组织检查","诊断性操作"
nhsa_jbzd_34_2502,"34.2502",True,"胸腔镜下纵隔活组织检查","手术"
nhsa_jbzd_34_2600,"34.2600",True,"开放性纵隔活组织检查","手术"
nhsa_jbzd_34_2700,"34.2700",True,"横膈活组织检查","诊断性操作"
nhsa_jbzd_34_2700x001,"34.2700x001",True,"膈肌活检术","手术"
nhsa_jbzd_34_2800,"34.2800",True,"胸壁，胸膜和横膈的其他诊断性操作","诊断性操作"
nhsa_jbzd_34_2900,"34.2900",True,"纵隔其他诊断性操作","诊断性操作"
nhsa_jbzd_34_3x00,"34.3x00",True,"纵隔病损或组织的切除术或破坏术","手术"
nhsa_jbzd_34_3x01,"34.3x01",True,"经皮纵隔病损射频消融术","手术"
nhsa_jbzd_34_3x02,"34.3x02",True,"纵隔病损切除术","手术"
