id,name,ref,company_type,category_id/id
enterprise_00250,苏州杜康宁医疗用品有限公司,00250,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00255,长春市黄伟义齿制作中心,00255,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00257,奥索假肢矫形康复器材（上海）有限公司,00257,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00260,山东皇圣堂药业有限公司,00260,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00262,江西晋瑞医疗器械有限公司,00262,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00263,苏州康有为医疗科技有限公司,00263,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00265,上海铠唏尔医疗器械贸易有限公司,00265,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00266,佛山润邦医疗科技有限公司,00266,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00268,广州黑格智造信息科技有限公司,00268,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00269,青岛金铂瑞齿科技术有限公司,00269,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00270,哈尔滨市荣森义齿有限公司,00270,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00271,北京百利康生化有限公司,00271,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00273,北京德益达美医疗科技有限公司,00273,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00274,济南晨生医疗科技有限公司,00274,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00275,衡水康友医疗器械有限公司,00275,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00280,广州华昌义齿有限公司,00280,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00284,南京伟思医疗科技股份有限公司,00284,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00285,北京百心利商贸有限公司,00285,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00286,湖北普爱药业有限公司,00286,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00287,哈尔滨市天使卫生材料厂,00287,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00288,山西康宁医药科技有限公司,00288,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00290,宁波市舜业医疗器材有限公司,00290,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00291,西安多美冠义齿有限公司,00291,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00295,海氏海诺健康科技股份有限公司,00295,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00298,哈尔滨隆腾伟业科技发展有限公司,00298,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00300,沈阳新智源医疗用品有限公司,00300,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00302,爱美励合成都医疗器械有限公司,00302,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00306,常熟宜泰特种织造有限公司,00306,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00307,河南博创医疗科技有限公司,00307,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00309,杭州西湖生物材料有限公司,00309,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00311,浏阳市三力医用科技发展有限公司,00311,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00313,深圳市资福医疗技术有限公司,00313,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00314,广州迈得菲明医疗器械有限公司,00314,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00321,珠海丽珠试剂股份有限公司,00321,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00323,西安通标医疗器械有限公司,00323,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00324,江苏长城医疗器械有限公司,00324,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00325,西诺医疗器械集团有限公司,00325,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00326,广州市达瑞生物技术股份有限公司,00326,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00327,郑州顺腾科贸有限公司,00327,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00328,天津市科理经济技术有限公司,00328,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00329,广州市德顺义齿有限公司,00329,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00330,洪湖泰宁医疗器械有限公司,00330,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00331,西安申兰生物医学工程有限公司,00331,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00332,上海和胜精密齿科制作有限公司,00332,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00333,湖北柔曼斯特医疗科技发展有限公司,00333,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00336,深圳市科瑞康实业有限公司,00336,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00338,佛山市雅皓义齿有限公司,00338,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00339,常熟尚齿齿科材料有限公司,00339,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00340,合肥瑞欣康复用品用具有限责任公司,00340,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00344,上海国颂医疗科技有限公司,00344,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00345,抚顺北药医疗器械有限公司,00345,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00347,石家庄昌鸿义齿有限公司,00347,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00349,北京威联德骨科技术有限公司,00349,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00350,江西奇仁生物科技有限责任公司,00350,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00352,成都顺雅医疗用品有限公司,00352,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00357,苏州榭睿迦医疗科技发展有限公司,00357,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00358,安徽恒益莱生物科技有限公司,00358,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00360,湖南佳乐医疗器械有限公司,00360,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00365,广东上辰药业有限公司,00365,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00366,星火万方齿科技术（北京）有限公司,00366,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00369,北京安慧康科技有限公司,00369,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00371,扬州宇润科技发展有限公司,00371,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00374,东莞市泛美医疗器械有限公司,00374,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00380,广州市普泰德医疗器械有限公司,00380,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00384,广州和普乐健康科技有限公司,00384,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00385,北京蒙博润生物科技有限公司,00385,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00387,济南正大义齿有限公司,00387,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00388,湖南灵康医疗科技有限公司,00388,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00391,江苏诺瑞思医疗器械有限公司,00391,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00393,石家庄市捷登义齿有限公司,00393,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00396,温州世科医疗器械有限公司,00396,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00400,大连澳华医用高分子器材有限公司,00400,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00402,南京华开生物科技有限公司,00402,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00403,北京康祝医疗器械有限公司,00403,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00404,DMG医疗器械（北京）有限公司,00404,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00405,余姚市宇峰医疗器械有限公司,00405,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00406,武汉众福医疗器械有限公司,00406,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00407,郑州安然医疗器械有限公司,00407,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00411,江苏博瑞斯医疗器械有限公司,00411,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00413,欧普康视科技股份有限公司,00413,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00417,北京华医圣杰科技有限公司,00417,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00419,大博医疗科技股份有限公司,00419,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00423,深圳市顺美医疗股份有限公司,00423,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00424,江西绿尔康医疗器械有限公司,00424,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00429,昆明臻冠义齿技术有限公司,00429,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00430,江苏康林贝医疗器械有限公司,00430,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00433,河南协和医疗器械制品有限公司,00433,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00437,九江捷豹药械有限公司,00437,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00440,长沙达雅医疗器械有限公司,00440,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00442,杭州芭瓷医疗器械有限公司,00442,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00444,苏州正标医疗用品有限公司,00444,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00445,科多尼克（上海）贸易有限公司,00445,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00446,湖南埃普特医疗器械有限公司,00446,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00451,北京凯思玛咨询服务有限公司,00451,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00452,上海新世纪齿科材料有限公司,00452,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00453,肇庆市端州区康美义齿加工厂,00453,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00455,南昌市旭辉医疗器械有限公司,00455,机构,nhsa_consumables.res_partner_category_manufacturer
