id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01020700100003,C01020700100003,非血管介入治疗类材料,消化介入材料,肠道支架,支架,不区分,覆膜支架/不可通过内镜活检孔道,乙类,3360.00,
gz_nhsa_consumables_C01020700100004,C01020700100004,非血管介入治疗类材料,消化介入材料,肠道支架,支架,不区分,裸支架/不可通过内镜活检孔,乙类,4800.00,
gz_nhsa_consumables_C01020800100001,C01020800100001,非血管介入治疗类材料,消化介入材料,胰管支架,支架,不区分,单件,乙类,752.84,
gz_nhsa_consumables_C01020800100002,C01020800100002,非血管介入治疗类材料,消化介入材料,胰管支架,支架,不区分,套装,乙类,40250.00,
gz_nhsa_consumables_C01020900101002,C01020900101002,非血管介入治疗类材料,消化介入材料,胆道支架,支架,聚合物,裸支架/一体式,乙类,1064.06,
gz_nhsa_consumables_C01020900101004,C01020900101004,非血管介入治疗类材料,消化介入材料,胆道支架,支架,聚合物,裸支架/分体式,乙类,704.88,
gz_nhsa_consumables_C01020900105001,C01020900105001,非血管介入治疗类材料,消化介入材料,胆道支架,支架,合金,覆膜支架/一体式,乙类,10690.71,
gz_nhsa_consumables_C01020900105002,C01020900105002,非血管介入治疗类材料,消化介入材料,胆道支架,支架,合金,裸支架/一体式,乙类,12748.74,
gz_nhsa_consumables_C01020900105004,C01020900105004,非血管介入治疗类材料,消化介入材料,胆道支架,支架,合金,裸支架/分体式,乙类,2200.00,
gz_nhsa_consumables_C01021000600001,C01021000600001,非血管介入治疗类材料,消化介入材料,消化道细胞刷,细胞刷,不区分,通导丝,乙类,1530.00,
gz_nhsa_consumables_C01021000600002,C01021000600002,非血管介入治疗类材料,消化介入材料,消化道细胞刷,细胞刷,不区分,不通导丝,乙类,45.13,
gz_nhsa_consumables_C01021100400002,C01021100400002,非血管介入治疗类材料,消化介入材料,胆胰导管,导管,不区分,电子成像,乙类,960.00,
gz_nhsa_consumables_C01021200400001,C01021200400001,非血管介入治疗类材料,消化介入材料,消化介入/止血导管,导管,不区分,电凝止血导管/带,乙类,833.00,
gz_nhsa_consumables_C01021200400003,C01021200400003,非血管介入治疗类材料,消化介入材料,消化介入/止血导管,导管,不区分,注针射止血导管/带,乙类,960.00,
gz_nhsa_consumables_C01021200400006,C01021200400006,非血管介入治疗类材料,消化介入材料,消化介入/止血导管,导管,不区分,喷针洒止血导管/不带针,乙类,960.00,
gz_nhsa_consumables_C01021300400001,C01021300400001,非血管介入治疗类材料,消化介入材料,消化扩张导管,导管,不区分,胃肠,乙类,960.00,
